"","Order","Family","Genus_V_1.2","Species_V_1.2","TaxonID","Bin.","Synonyms.","Mass_g","WoS.Hits","Animal","Vertebrate","Mammal","Bird","Herptile","Fish","Invertebrate","Plant","Seed","Fruit","Nectar","Root","Leaf","Woody","Herbaceous","Other","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"1","CARNIVORA","Canidae","Vulpes","vulpes",458,"Vulpes_vulpes","","5318.2",368,1,1,"1",0,0,0,1,1,0,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"2","CARNIVORA","Canidae","Canis","lupus",418,"Canis_lupus","","32183.3",252,1,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"3","CARNIVORA","Ursidae","Ursus","arctos",6334,"Ursus_arctos","","180520.4",199,1,1,"1",0,0,1,1,1,0,1,0,1,1,0,1,0,"",NA,"",NA,NA,NA,NA,NA,""
"4","CARNIVORA","Canidae","Canis","latrans",417,"Canis_latrans","","13406.3",131,1,1,"1",0,0,3,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"5","CARNIVORA","Ursidae","Ursus","maritimus",6335,"Ursus_maritimus","","388750.4",128,1,1,"1",0,0,2,0,2,0,2,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"6","CARNIVORA","Felidae","Puma","concolor",2466,"Puma_concolor","","51600",120,1,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"7","CARNIVORA","Felidae","Panthera","pardus",2453,"Panthera_pardus","","54999.7",109,1,1,"1",3,0,0,3,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"8","CARNIVORA","Mustelidae","Martes","martes",4218,"Martes_martes","","1300",79,1,1,"1",0,0,0,0,1,0,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"9","CARNIVORA","Mustelidae","Neovison","vison",4253,"Neovison_vison","","945",87,1,1,"1",2,1,1,1,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"10","CARNIVORA","Felidae","Felis","silvestris",2429,"Felis_silvestris","","5500",80,1,1,"1",2,2,0,2,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"11","CARNIVORA","Felidae","Panthera","leo",2451,"Panthera_leo","","161499.1",82,1,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"12","CARNIVORA","Mustelidae","Mustela","erminea",4236,"Mustela_erminea","","119.4",73,1,1,"1",2,2,0,2,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"13","CARNIVORA","Felidae","Lynx","lynx",2442,"Lynx_lynx","","17950",80,1,1,"1",2,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"14","CARNIVORA","Hyaenidae","Crocuta","crocuta",2818,"Crocuta_crocuta","","62999.9",65,1,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"15","CARNIVORA","Mustelidae","Mustela","putorius",4247,"Mustela_putorius","","915.4",57,1,1,"1",1,1,1,1,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"16","CARNIVORA","Felidae","Panthera","tigris",2454,"Panthera_tigris","","162564",66,1,1,"1",3,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"17","CARNIVORA","Felidae","Acinonyx","jubatus",2421,"Acinonyx_jubatus","","46700",60,1,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"18","CARNIVORA","Felidae","Panthera","onca",2452,"Panthera_onca","","100000",59,1,1,"1",0,2,2,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"19","CARNIVORA","Mustelidae","Martes","foina",4216,"Martes_foina","","1540.8",48,1,1,"1",1,0,0,0,1,0,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"20","CARNIVORA","Canidae","Canis","aureus",416,"Canis_aureus","","10345.2",48,1,1,"1",1,1,1,1,1,0,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"21","CARNIVORA","Felidae","Lynx","rufus",2444,"Lynx_rufus","","8904.1",40,1,1,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"22","CARNIVORA","Canidae","Chrysocyon","brachyurus",425,"Chrysocyon_brachyurus","","23249.8",41,1,1,"1",1,1,0,1,1,0,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"23","CARNIVORA","Canidae","Lycaon","pictus",431,"Lycaon_pictus","","22050.1",36,1,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"24","CARNIVORA","Mustelidae","Mustela","nivalis",4245,"Mustela_nivalis","","137.5",36,1,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"25","CARNIVORA","Viverridae","Genetta","genetta",6824,"Genetta_genetta","","1800",31,1,1,"1",2,0,0,2,2,0,2,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"26","CARNIVORA","Mustelidae","Martes","americana",4214,"Martes_americana","","1250",34,1,1,"1",2,0,0,2,2,0,2,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"27","CARNIVORA","Felidae","Leopardus","pardalis",2435,"Leopardus_pardalis","","11900.1",28,1,1,"1",1,1,1,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"28","CARNIVORA","Felidae","Prionailurus","bengalensis",2461,"Prionailurus_bengalensis","","3300",33,1,1,"1",1,1,1,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"29","CARNIVORA","Canidae","Cuon","alpinus",427,"Cuon_alpinus","","12760",26,1,1,"1",0,0,0,2,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"30","CARNIVORA","Procyonidae","Procyon","lotor",4979,"Procyon_lotor","Alopex valopus","6550",23,1,1,"1",1,1,1,1,1,1,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"31","CARNIVORA","Felidae","Panthera","uncia",2455,"Panthera_uncia","","44167",31,1,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"32","CARNIVORA","Canidae","Vulpes","lagopus",411,"Vulpes_lagopus","","4867.7",29,1,1,"1",1,0,1,1,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"33","CARNIVORA","Felidae","Lynx","pardinus",2443,"Lynx_pardinus","","9400",24,1,1,"1",2,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
