,PrimaryRef,long,lat,Coordinates.Source,Longitude,Latitude,Potential error,,,,,
1,"?irovi?, D., Penezi?, A., Milenkovi?, M., & Paunovi?, M. (2014). Winter diet composition of the golden jackal (Canis aureus L., 1758) in Serbia.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·79(2), 132-137.",22.5321,44.2258,GoogleMaps,,,Golden jackal - range map is not there,,,,,
2,"?irovi?, D., Penezi?, A., Milenkovi?, M., & Paunovi?, M. (2014). Winter diet composition of the golden jackal (Canis aureus L., 1758) in Serbia.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·79(2), 132-137.",20.7671,44.1383,GoogleMaps,,,Golden jackal - range map is not there,,,,,
3,"?irovi?, D., Penezi?, A., Milenkovi?, M., & Paunovi?, M. (2014). Winter diet composition of the golden jackal (Canis aureus L., 1758) in Serbia.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·79(2), 132-137.",20.933,44.6643,GoogleMaps,,,Golden jackal - range map is not there,,,,,
4,"?irovi?, D., Penezi?, A., Milenkovi?, M., & Paunovi?, M. (2014). Winter diet composition of the golden jackal (Canis aureus L., 1758) in Serbia.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·79(2), 132-137.",20.2625,44.79,GoogleMaps,,,Golden jackal - range map is not there,,,,,
5,"?irovi?, D., Penezi?, A., Milenkovi?, M., & Paunovi?, M. (2014). Winter diet composition of the golden jackal (Canis aureus L., 1758) in Serbia.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·79(2), 132-137.",21.201,44.2483,GoogleMaps,,,Golden jackal - range map is not there,,,,,
6,"?irovi?, D., Penezi?, A., Milenkovi?, M., & Paunovi?, M. (2014). Winter diet composition of the golden jackal (Canis aureus L., 1758) in Serbia.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·79(2), 132-137.",21.0775,44.335,GoogleMaps,,,Golden jackal - range map is not there,,,,,
7,"?irovi?, D., Penezi?, A., Milenkovi?, M., & Paunovi?, M. (2014). Winter diet composition of the golden jackal (Canis aureus L., 1758) in Serbia.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·79(2), 132-137.",21.5061,44.7468,GoogleMaps,,,Golden jackal - range map is not there,,,,,
8,"Aleksandra, P., & Du‹ko, ?. (2015). Seasonal variation in diet of the golden jackal (Canis aureus) in Serbia.·Mammal Research,·60(4), 309-317.",20.2625,44.79,GoogleMaps,,,Golden jackal - range map is not there,,,,,
9,"Aleksandra, P., & Du‹ko, ?. (2015). Seasonal variation in diet of the golden jackal (Canis aureus) in Serbia.·Mammal Research,·60(4), 309-317.",21.5061,44.7468,GoogleMaps,,,Golden jackal - range map is not there,,,,,
10,"Aleksandra, P., & Du‹ko, ?. (2015). Seasonal variation in diet of the golden jackal (Canis aureus) in Serbia.·Mammal Research,·60(4), 309-317.",19.7366,45.0286,GoogleMaps,,,Golden jackal - range map is not there,,,,,
15,"Amroun, M., Giraudoux, P., & Delattre, P. (2006). A comparative study of the diets of two sympatric carnivores˚the golden jackal (Canis aureus) and the common genet (Genetta genetta)˚in Kabylia, Algeria/Etude comparative des r?gimes alimentaires de deux carnivores sympatriques˚le chacal dor? (Canis aureus) et la genette commune (Genetta genetta)˚en Kabylie, Alg?rie.·Mammalia,·70(3/4), 247-254.",4.183333334,36.68333334,Reported,4' 10' ñ4'12'E,36'40'ñ36'42'N,Golden jackal - range map is not there,,,,,
