,key,PrimaryRef,CarniBinom,PreyOrder,PreyBinom,CD.values,Valid.values,Difference,Re-entered_Full,Potential explanation,Re-entered,Correct explanation
1,"Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43. Genetta_genetta Apodemus_sylvaticus","Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43.",Genetta_genetta,Rodentia,Apodemus_sylvaticus,63.02,153.85,-90.83,153.85,Missed out 'relative frequency of occurrence',63.02,Yes
2,"Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43. Genetta_genetta Crocidura_russula","Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43.",Genetta_genetta,Eulipotyphla,Crocidura_russula,1.15,2.82,-1.67,2.82,Missed out 'relative frequency of occurrence',1.15,Yes
3,"Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43. Genetta_genetta Eliomys_quercinus","Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43.",Genetta_genetta,Rodentia,Eliomys_quercinus,3.47,8.47,-5,8.47,Missed out 'relative frequency of occurrence',3.47,Yes
4,"Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43. Genetta_genetta Lemniscomys_barbarus","Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43.",Genetta_genetta,Rodentia,Lemniscomys_barbarus,1.74,4.24,-2.5,4.24,Missed out 'relative frequency of occurrence',1.74,Yes
5,"Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43. Genetta_genetta Lepus_capensis","Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43.",Genetta_genetta,Lagomorpha,Lepus_capensis,0.2,0.48,-0.28,0.48,Missed out 'relative frequency of occurrence',0.2,Yes
6,"Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43. Genetta_genetta Mus_musculus","Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43.",Genetta_genetta,Rodentia,Mus_musculus,15.03,36.7,-21.67,36.7,Missed out 'relative frequency of occurrence',15.03,Yes
7,"Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43. Genetta_genetta Mus_spretus","Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43.",Genetta_genetta,Rodentia,Mus_spretus,6.75,16.47,-9.72,16.47,Missed out 'relative frequency of occurrence',6.75,Yes
8,"Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43. Genetta_genetta Mustela_nivalis","Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43.",Genetta_genetta,Carnivora,Mustela_nivalis,3.27,NA,NA,7.99,Missed out 'relative frequency of occurrence',3.27,Yes
9,"Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43. Genetta_genetta Rattus_norvegicus","Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43.",Genetta_genetta,Rodentia,Rattus_norvegicus,0.38,0.94,-0.56,0.94,Missed out 'relative frequency of occurrence',0.38,Yes
10,"Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43. Genetta_genetta Rattus_rattus","Amroun, Mansour, et al. ""Feeding habits of the common genet (Genetta genetta) in the area of Djurdjura, north of Algeria.""·mammalia·78.1 (2014): 35-43.",Genetta_genetta,Rodentia,Rattus_rattus,0.77,1.88,-1.11,0.77,Missed out 'relative frequency of occurrence',1.88,Yes
